video_id,title,channel_id,channel_name,category,source_group,view_count,comentarios_obs,autores_unicos,likes,respuestas,tiene_comentarios
-5puKGEqcUc,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,News & Politics,topic,2357,0,0,0,0,False
-E7OPOLjMug,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,People & Blogs,topic,4,0,0,0,0,False
-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,UC-DpoeBbCMOMOH1-j71KPqA,México Poder,People & Blogs,topic,29736,0,0,0,0,False
-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,Nonprofits & Activism,topic,383,0,0,0,0,False
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,topic,6692,14,13,12,1,True
0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,Travel & Events,topic,6099,0,0,0,0,False
0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,official_gov,15455,0,0,0,0,False
0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2725,0,0,0,0,False
0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,official_gov,1875,0,0,0,0,False
0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA Guatemala en medio de EMERGENCIA,UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,News & Politics,topic,36701,0,0,0,0,False
1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,Entertainment,topic,289,0,0,0,0,False
1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,1175,0,0,0,0,False
