author_channel_id,author_handle,comentarios,videos,canales,likes,respuestas
UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,6,1,1,1,0
UCyJhqmMbsvjpoarBBStA2kg,@Murmullodelbarrio,6,1,1,14,0
UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,5,1,1,6,0
UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,5,1,1,17,0
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,4,3,1,0,0
UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,4,1,1,0,0
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3,3,1,4,0
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,3,2,2,14,0
UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,3,2,1,1,0
UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,3,1,1,2,0
UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,3,1,1,19,0
UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,3,1,1,3,0
UCNIeXbV_mEwpa412h1aqUWw,@juandeleon9060,3,1,1,3,1
UCg3eIfd7BrsLEqS0BLkftHA,@ErmePérez-q4s,3,1,1,0,0
UCh5ESQvtzyHDhCA7XyekCFA,@andyB5280,3,1,1,4,0
UChs3tU2BcKOT0CezykvAsGw,@byronpontaza,3,1,1,4,0
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2,2,1,0,0
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,2,0,1
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,2,2,2,0,0
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,2,2,2,0,0
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,2,2,1,0,0
UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,2,1,1,0,0
UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,2,1,1,1,0
UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,2,1,1,0,0
UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,2,1,1,0,3
UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,2,1,1,3,0
UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,2,1,1,8,0
UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,2,1,1,24,0
UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,2,1,1,7,0
UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,2,1,1,1,0
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,2,1,1,4,0
UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,2,1,1,31,0
UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,2,1,1,5,0
UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,2,1,1,0,0
UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,2,1,1,0,0
