indicador,valor
Videos en el catálogo,293.0
Canales que publican videos,97.0
Comentarios principales,406.0
Autores únicos de comentarios,332.0
Videos con comentarios recolectados,19.0
Canales con comentarios recolectados,8.0
Videos por canal — media,3.02
Videos por canal — mediana,1.0
Videos por canal — máximo,32.0
Comentarios por video con cobertura — media,21.37
Comentarios por video con cobertura — mediana,7.0
Comentarios por video con cobertura — máximo,161.0
Autores únicos por video con cobertura — media,18.05
Autores únicos por video con cobertura — máximo,128.0
Comentarios por autor — media,1.22
Comentarios por autor — máximo,6.0
Visualizaciones — total,17706015.0
Visualizaciones — media,60430.1
Visualizaciones — mediana,1175.0
Visualizaciones — máximo,8190449.0
Respuestas (reply_count) — total,51.0
Comentarios con al menos una respuesta,30.0
Me gusta — total,2325.0
Me gusta — mediana,1.0
Me gusta — máximo,405.0
Categorías distintas,11.0
Consultas de búsqueda distintas (videos),21.0
Consultas de búsqueda distintas (comentarios),6.0
