source_group,source_query,videos,comentarios,vistas_medianas
channel,@quorumgt/videos,11,43,673.0
official_gov,Ministerio de Comunicaciones Guatemala,16,0,121.5
official_gov,Conred Guatemala,15,0,200.0
official_gov,PMT Guatemala,15,0,2383.0
official_gov,Policia Nacional Civil Guatemala,13,0,15455.0
official_gov,Provial Guatemala,13,0,341.0
official_gov,Gobierno de Guatemala,12,0,1065.5
official_gov,Ministerio de Gobernacion Guatemala,12,0,22.5
official_gov,Municipalidad de Guatemala,9,0,1965.0
topic,@GobiernodelaRepublicadeGuatema,18,0,57.0
topic,@GobiernodeGuatemala,17,25,959.0
topic,@MunicipalidaddeGuatemala-1551,16,0,191.0
topic,guatemala noticias,16,55,17967.0
topic,Gobierno de la República de Guatemala,15,45,1383.0
topic,guatemala trafico,13,0,2326.0
topic,guatemala transporte,13,0,134775.0
topic,@quorumgt,12,51,451.5
topic,guatemala lluvias,12,0,2325.5
topic,guatemala politica,12,0,29685.0
topic,guatemala seguridad,12,0,5893.0
topic,Municipalidad de Guatemala,11,25,642.0
topic,Gobierno de Guatemala,6,0,406.5
topic,Quorum GT,4,162,339.5
