author_handle,channel_name,videos_comentados
@Alejandro00710,Quorum,2
@Jel.Awesh.M,Quorum,2
@MarcosCarillo-b1r,Quorum,1
@MarcosCarillo-b1r,TN23 Guatemala,1
@franciscoflores3120,Gobierno de la República de Guatemala,1
@franciscoflores3120,Noti7,1
@hashojea7348,Quorum,3
@inge_vergueta,Quorum,3
@josegil3813,Gobierno de la República de Guatemala,2
@moisesvaldez4043,PrensaLibreOficial,1
@moisesvaldez4043,Quorum,1
@virgiliogarcia3039,Gobierno de la República de Guatemala,1
@virgiliogarcia3039,Quorum,1
