video_id,title,channel_name,category,comentarios_obs,autores_unicos,sent_medio,pct_neg,pct_pos,terminos
n8iP75gIpmw,Qué rico come tu diputado,Quorum,News & Politics,161,128,-0.671,80.7,5.6,"pueblo, diputado, pagar, dinero, trabajo, sueldo"
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,50,49,-0.342,58.0,20.0,"corrupto, usac, estudiante, universidad, excelente, información"
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,45,32,-0.109,40.0,28.9,"presidente, guatemala, proyecto, arévalo, terminar, bernardo"
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,25,18,-0.473,64.0,8.0,"you, deportar, entrar, méxico, persona, pasar"
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,25,19,-0.422,68.0,16.0,"guatemala, gobierno, presidente, bla, persona, maya"
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,25,25,0.609,8.0,80.0,"guatemala, ciudad, saludo, proyecto, vivir, tiempo"
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,16,16,-0.236,56.2,31.2,"ley, libre, vender, empresa, hand, purple"
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,14,13,-0.177,28.6,21.4,"trabajo, mujer, faltar, cara, joven, buscar"
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,News & Politics,12,10,0.002,33.3,33.3,"internet, excelente, empresa, servicio, cliente, tigo"
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,7,7,-0.759,85.7,0.0,"asqueroso, galón, entender, gasolina, guerra, guatemala"
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,7,7,-0.622,85.7,0.0,"comparator, enjuiciar, obgwto, robado, humano, hechor"
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,News & Politics,6,6,-0.56,66.7,0.0,"excelente, peatón, pasar, caminar, nota, reportaje"
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,4,4,0.467,25.0,75.0,"iniciativa, juego, excelente, deporte, dinamico, entretenido"
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,3,3,0.157,33.3,66.7,"guatemala, cambiar, dictadura, semilla, bernardo, arévalo"
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,2,2,-0.519,50.0,0.0,"persona, encargado, ecosistema, ayudar, problema, recuerdo"
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,1,1,0.718,0.0,100.0,woow
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1,1,-0.888,100.0,0.0,"teléfono, subscribir, boletín, informativo, intentar, página"
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1,1,0.972,0.0,100.0,"gracias, video, importante, tipo, espacio"
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,1,1,0.524,0.0,100.0,
