title,channel_name,view_count,comentarios_obs,rank_vistas,rank_comentarios,desfase,comentarios_por_10k_vistas
Qué rico come tu diputado,Quorum,11775,161,3,1,2,136.73
La cooptación de Walter Mazariegos en la USAC,Quorum,10156,50,5,2,3,49.23
Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,11670,45,4,3,1,38.56
EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,14200,25,2,4,-2,17.61
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,3628,25,9,4,5,68.91
Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,304089,25,1,4,-3,0.82
Arroz con pollo a la MONOPOLIO,Quorum,1954,16,10,7,3,81.88
Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,6692,14,6,8,-2,20.92
Internet: escoger el menos malo,Quorum,717,12,14,9,5,167.36
Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,5469,7,7,10,-3,12.8
Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,4616,7,8,10,-2,15.16
Caminar en una ciudad hecha para carros,Quorum,422,6,17,12,5,142.18
"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,1075,4,13,13,0,37.21
10 Preguntas a un año del Paro Nacional,Quorum,673,3,15,14,1,44.58
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,573,2,16,15,1,34.9
¿Quiénes pagan más en Centroamérica?,Quorum,220,1,18,16,2,45.45
Cruzando la ciudad a puro Transmetro,Quorum,1140,1,12,16,-4,8.77
SHAI WA: la vecina queer de Casa Presidencial,Quorum,1755,1,11,16,-5,5.7
Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,52,1,19,16,3,192.31
