node_id,tipo_nodo,bipartite,etiqueta,id_original,comentarios_publicados,videos_comentados,canales_comentados,likes,respuestas,sent_medio,channel_id,channel_name,category,source_group,view_count,comentarios_recibidos,autores_distintos,tiene_comentarios,observado
author::UC-HeUTT6_g-VoiWds2a4H-w,autor,0,@JorgeMunoz-gd9et,UC-HeUTT6_g-VoiWds2a4H-w,1,1.0,1.0,0.0,0.0,0.449,,,,,,,,,True
author::UC-Iul5tDYH_oiAMXQH-KaaQ,autor,0,@AlbertoMancilla-p9h,UC-Iul5tDYH_oiAMXQH-KaaQ,1,1.0,1.0,1.0,0.0,0.92,,,,,,,,,True
author::UC-QOpE7GOxlXcHZ8b7HbQKA,autor,0,@mariaalexander427,UC-QOpE7GOxlXcHZ8b7HbQKA,2,1.0,1.0,0.0,0.0,-0.742,,,,,,,,,True
author::UC-fiZBS5Gp1eCJd9ucgWnCg,autor,0,@Tommii.10,UC-fiZBS5Gp1eCJd9ucgWnCg,1,1.0,1.0,6.0,0.0,-0.476,,,,,,,,,True
author::UC-hfX8J5JPJ-dfuakzegMLA,autor,0,@normaleticiaorozcojuarez2418,UC-hfX8J5JPJ-dfuakzegMLA,1,1.0,1.0,6.0,0.0,0.574,,,,,,,,,True
author::UC-jS_kA9w-OmpupXDx156Rg,autor,0,@simoncreyesc7579,UC-jS_kA9w-OmpupXDx156Rg,1,1.0,1.0,2.0,0.0,-0.963,,,,,,,,,True
author::UC-pNP6RMFuLg_-x7Ah_0kEA,autor,0,@almacatalan2717,UC-pNP6RMFuLg_-x7Ah_0kEA,1,1.0,1.0,5.0,0.0,-0.945,,,,,,,,,True
author::UC094EFEmMSdwVa8NQjjYBXg,autor,0,@CelestinoQuej-j7k,UC094EFEmMSdwVa8NQjjYBXg,1,1.0,1.0,0.0,0.0,-0.157,,,,,,,,,True
author::UC0HvfEWozTHbwl_iEmJNvVA,autor,0,@OttoPalencia-b7r,UC0HvfEWozTHbwl_iEmJNvVA,1,1.0,1.0,3.0,0.0,-0.431,,,,,,,,,True
author::UC0RpuMwkDKJYqgKHtsJRuWQ,autor,0,@sabinamarinaguerra3248,UC0RpuMwkDKJYqgKHtsJRuWQ,1,1.0,1.0,113.0,1.0,0.972,,,,,,,,,True
