origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UC-HeUTT6_g-VoiWds2a4H-w,video::6W4u8sGEnGM,1,0,0,0.449,comento_en,UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC-Iul5tDYH_oiAMXQH-KaaQ,video::6W4u8sGEnGM,1,1,0,0.92,comento_en,UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC-QOpE7GOxlXcHZ8b7HbQKA,video::OkXlHx0hx-8,2,0,0,-0.742,comento_en,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
author::UC-fiZBS5Gp1eCJd9ucgWnCg,video::j43HgwYFKfk,1,6,0,-0.476,comento_en,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC-hfX8J5JPJ-dfuakzegMLA,video::n8iP75gIpmw,1,6,0,0.574,comento_en,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC-jS_kA9w-OmpupXDx156Rg,video::n8iP75gIpmw,1,2,0,-0.963,comento_en,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC-pNP6RMFuLg_-x7Ah_0kEA,video::n8iP75gIpmw,1,5,0,-0.945,comento_en,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC094EFEmMSdwVa8NQjjYBXg,video::b_Hkrkl3adA,1,0,0,-0.157,comento_en,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UC0HvfEWozTHbwl_iEmJNvVA,video::6W4u8sGEnGM,1,3,0,-0.431,comento_en,UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC0RpuMwkDKJYqgKHtsJRuWQ,video::lj983NWyAQY,1,113,1,0.972,comento_en,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UC0aEyakBPqcBkVJiErfSupQ,video::lj983NWyAQY,1,70,0,0.867,comento_en,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UC14qlobYKqD-DO0j6b75lcA,video::6W4u8sGEnGM,1,0,0,0.159,comento_en,UC14qlobYKqD-DO0j6b75lcA,@megavision4488,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC1DpqK6vaPEkBOMNvypsKYg,video::j43HgwYFKfk,1,0,0,-0.911,comento_en,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC1NiEdJ7gk6FlDexIalWnGg,video::6W4u8sGEnGM,1,0,0,-0.969,comento_en,UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC1WlJfQmaIskYhP4gmWoamw,video::OkXlHx0hx-8,1,2,1,-0.98,comento_en,UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,video::PjmxCj-a9Hg,1,0,0,-0.909,comento_en,UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
author::UC1vr9aaMI2crB0NvwFHUeoQ,video::n8iP75gIpmw,1,0,0,-0.971,comento_en,UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC2Y_EHWQKevubk4vOEBBFxw,video::n8iP75gIpmw,1,1,0,-0.837,comento_en,UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC2ngpd8UBQu4gcUYy0goAtg,video::06mFNPU0aB8,1,0,0,-0.827,comento_en,UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
author::UC2weSE8rpqkGMOp6StYtVfg,video::n8iP75gIpmw,1,1,0,-0.976,comento_en,UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC32oozucwCF3q8d4m8fyOUg,video::j43HgwYFKfk,1,0,0,-0.869,comento_en,UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC3E9mAgP7VoAE5mZoAexl5g,video::n8iP75gIpmw,1,0,0,-0.972,comento_en,UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3MYTqpQqlWBuCB7Th0e0PA,video::n8iP75gIpmw,1,4,0,0.931,comento_en,UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3NMzdMYryaw82kPTnsaljg,video::n8iP75gIpmw,1,0,0,-0.881,comento_en,UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3UVO7pTbeYvZ3ILEyRDskQ,video::j43HgwYFKfk,1,1,0,-0.538,comento_en,UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC3XTwHxygNCgjndsg-UiCQA,video::n8iP75gIpmw,3,2,0,-0.954,comento_en,UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC3YpzAr7pcdKC7BVFEpYzog,video::6W4u8sGEnGM,1,4,1,-0.91,comento_en,UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UC3iIU62XKUOWuqL8BqBzj9A,video::b_Hkrkl3adA,1,0,0,-0.893,comento_en,UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
