autor_a,autor_b,videos_compartidos,nodo_a,nodo_b
@Alejandro00710,@hashojea7348,2,author::UCbrtvygfRT6QXqWDNrOf-cA,author::UCvcu1kR8xMYy_I1Ty-2mV2Q
@inge_vergueta,@Jel.Awesh.M,2,author::UCpsKOkt5iWTbenzeuq7dsmQ,author::UCylqlpsh8ENNM1LqgQ1KbxA
@JorgeMunoz-gd9et,@AlbertoMancilla-p9h,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC-Iul5tDYH_oiAMXQH-KaaQ
@JorgeMunoz-gd9et,@OttoPalencia-b7r,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC0HvfEWozTHbwl_iEmJNvVA
@JorgeMunoz-gd9et,@megavision4488,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC14qlobYKqD-DO0j6b75lcA
@JorgeMunoz-gd9et,@BorisTebalán,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC1NiEdJ7gk6FlDexIalWnGg
@JorgeMunoz-gd9et,@carmenfigueroa1232,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC3YpzAr7pcdKC7BVFEpYzog
@JorgeMunoz-gd9et,@AbigailRodas-w2r,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UC63tFvbQ_hJhGDi2nbjssjw
@JorgeMunoz-gd9et,@anibalg47,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCEHXl4VvvVpq-_4xC5tsbhg
@JorgeMunoz-gd9et,@vitalianochavez8382,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCFybmWapGvBKcQod7cPPH9w
@JorgeMunoz-gd9et,@BernerSoza-mg3vx,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCRfkkatKrNtAARnXMMYBGlA
@JorgeMunoz-gd9et,@albertoshernandez5251,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCV3fr-YOixFKCZBbJP1-X4w
@JorgeMunoz-gd9et,@hectormaaz5523,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCWaRixDdpgllTBf4V0jPnKQ
@JorgeMunoz-gd9et,@AntonioChiyal-x5s,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCWvntqPQx99k_Z_skWKqNSA
@JorgeMunoz-gd9et,@luisricardo9671,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCZFQwqh90apuL8eFhvRBkUg
@JorgeMunoz-gd9et,@elsasalguero6914,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCa36MjQLoPAmgJo-R3G8WQA
@JorgeMunoz-gd9et,@elmilenial4064,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCaT4saRcyqCLE657Rq2hhZQ
@JorgeMunoz-gd9et,@franciscojuarez9223,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCeQk-WfEA-cJRq4EKeE7TOw
@JorgeMunoz-gd9et,@lara11roberto,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCfo_yUPzy1f1POwwZxhZ06Q
@JorgeMunoz-gd9et,@pattyfigueroa5609,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCgGqw4aqMdMVSGkKiMgrJRQ
@JorgeMunoz-gd9et,@rosaoliva9389,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCheEJ5GZuIvV0fj-nXyVwXw
@JorgeMunoz-gd9et,@maydamorales4395,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UChyps3dqY-VY1_wLeq-2lhw
@JorgeMunoz-gd9et,@mariogonzalezorellana8956,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCiOZX__1gahg1ypIj0_XG_w
@JorgeMunoz-gd9et,@franciscoflores3120,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCjZgFEowMBrsjodqfovzdKw
@JorgeMunoz-gd9et,@Israel-u5i7i,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCoGdCoJg2Lh0OX_jv6cG16g
@JorgeMunoz-gd9et,@robertoescobar5507,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCp29O_C7cchZV8IxV7Crdag
@JorgeMunoz-gd9et,@RolandoGonzalez-o7g,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCql1n3Ey6ULMSOACjMe-fxQ
@JorgeMunoz-gd9et,@carlosgranados9875,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCtCtts20bW6F9CSohau51Iw
@JorgeMunoz-gd9et,@AlejandroPérez-b6r,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCtsxPYw8VUsH_FfnKg-0lmw
@JorgeMunoz-gd9et,@cristianescobedo8296,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCvDwJBBY1mHK70aTEYl6rsA
@JorgeMunoz-gd9et,@vic-bonivideos,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCwxoKK59nGCeBqB2sXfDBIw
@JorgeMunoz-gd9et,@Murmullodelbarrio,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCyJhqmMbsvjpoarBBStA2kg
@JorgeMunoz-gd9et,@josegil3813,1,author::UC-HeUTT6_g-VoiWds2a4H-w,author::UCzZ6dDCEsLMXbc5pCFXIprw
@AlbertoMancilla-p9h,@OttoPalencia-b7r,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UC0HvfEWozTHbwl_iEmJNvVA
@AlbertoMancilla-p9h,@megavision4488,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UC14qlobYKqD-DO0j6b75lcA
@AlbertoMancilla-p9h,@BorisTebalán,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UC1NiEdJ7gk6FlDexIalWnGg
@AlbertoMancilla-p9h,@carmenfigueroa1232,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UC3YpzAr7pcdKC7BVFEpYzog
@AlbertoMancilla-p9h,@AbigailRodas-w2r,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UC63tFvbQ_hJhGDi2nbjssjw
@AlbertoMancilla-p9h,@anibalg47,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCEHXl4VvvVpq-_4xC5tsbhg
@AlbertoMancilla-p9h,@vitalianochavez8382,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCFybmWapGvBKcQod7cPPH9w
@AlbertoMancilla-p9h,@BernerSoza-mg3vx,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCRfkkatKrNtAARnXMMYBGlA
@AlbertoMancilla-p9h,@albertoshernandez5251,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCV3fr-YOixFKCZBbJP1-X4w
@AlbertoMancilla-p9h,@hectormaaz5523,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCWaRixDdpgllTBf4V0jPnKQ
@AlbertoMancilla-p9h,@AntonioChiyal-x5s,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCWvntqPQx99k_Z_skWKqNSA
@AlbertoMancilla-p9h,@luisricardo9671,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCZFQwqh90apuL8eFhvRBkUg
@AlbertoMancilla-p9h,@elsasalguero6914,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCa36MjQLoPAmgJo-R3G8WQA
@AlbertoMancilla-p9h,@elmilenial4064,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCaT4saRcyqCLE657Rq2hhZQ
@AlbertoMancilla-p9h,@franciscojuarez9223,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCeQk-WfEA-cJRq4EKeE7TOw
@AlbertoMancilla-p9h,@lara11roberto,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCfo_yUPzy1f1POwwZxhZ06Q
@AlbertoMancilla-p9h,@pattyfigueroa5609,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCgGqw4aqMdMVSGkKiMgrJRQ
@AlbertoMancilla-p9h,@rosaoliva9389,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCheEJ5GZuIvV0fj-nXyVwXw
@AlbertoMancilla-p9h,@maydamorales4395,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UChyps3dqY-VY1_wLeq-2lhw
@AlbertoMancilla-p9h,@mariogonzalezorellana8956,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCiOZX__1gahg1ypIj0_XG_w
@AlbertoMancilla-p9h,@franciscoflores3120,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCjZgFEowMBrsjodqfovzdKw
@AlbertoMancilla-p9h,@Israel-u5i7i,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCoGdCoJg2Lh0OX_jv6cG16g
@AlbertoMancilla-p9h,@robertoescobar5507,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCp29O_C7cchZV8IxV7Crdag
@AlbertoMancilla-p9h,@RolandoGonzalez-o7g,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCql1n3Ey6ULMSOACjMe-fxQ
@AlbertoMancilla-p9h,@carlosgranados9875,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCtCtts20bW6F9CSohau51Iw
@AlbertoMancilla-p9h,@AlejandroPérez-b6r,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCtsxPYw8VUsH_FfnKg-0lmw
@AlbertoMancilla-p9h,@cristianescobedo8296,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCvDwJBBY1mHK70aTEYl6rsA
@AlbertoMancilla-p9h,@vic-bonivideos,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCwxoKK59nGCeBqB2sXfDBIw
@AlbertoMancilla-p9h,@Murmullodelbarrio,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCyJhqmMbsvjpoarBBStA2kg
@AlbertoMancilla-p9h,@josegil3813,1,author::UC-Iul5tDYH_oiAMXQH-KaaQ,author::UCzZ6dDCEsLMXbc5pCFXIprw
@mariaalexander427,@marthareiss5434,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UC1WlJfQmaIskYhP4gmWoamw
@mariaalexander427,@rosadiaz6945,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCBlm80VQ4YoV3bUJR_XhkaQ
@mariaalexander427,@pasionpornada,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCGZMgmM92E3njyXNe9-kjAQ
@mariaalexander427,@susievidal4134,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCIgoiXdIKJyUGmUoH2Lxdzg
@mariaalexander427,@luisroldan7374,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCOLHH4ZpMxPYF-Q6e6wvn5A
@mariaalexander427,@BelkisRodriguezRamirez,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCPNXmbOBVeC4HS-xemvcPtQ
@mariaalexander427,@Ripped-Yoda,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCQMMuADgqWUOcJpLwHOzC-g
@mariaalexander427,@aurahernandez5646,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCVdjCrh4tQoX3haNAZv-n5A
@mariaalexander427,@MariaNavarroYT,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCZjm6U576nX8WOiLhmMR3bw
@mariaalexander427,@DoraSalas-j5o,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCat2qkYvqmtDNEmo2PVuhXw
@mariaalexander427,@RosaMontesdeOca777,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCbNanjFI51cwGqMAb2rOrBw
@mariaalexander427,@eugeneramirez4405,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCi2KiZq63sRq8Mfbcp-MelQ
@mariaalexander427,@jesusguzman2321,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCozFYHN0e_-vlQbX3wQGOug
@mariaalexander427,@MarioCortez-o6v,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCp_dAUfv8i3LW3zWc24dLaQ
@mariaalexander427,@flornolberto2425,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCrqXyRsg-_hTosURZ-uvoKg
@mariaalexander427,@Paul-gf7ec,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCtiHFjFu7d5v2XxHnKFUYig
@mariaalexander427,@WilR-s8r,1,author::UC-QOpE7GOxlXcHZ8b7HbQKA,author::UCxhtlxPV8AYWaNNyU6S9H8Q
@Tommii.10,@HectorCarranza-u4j4o,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC1DpqK6vaPEkBOMNvypsKYg
@Tommii.10,@RauldejesusOlivagonzalez,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC32oozucwCF3q8d4m8fyOUg
@Tommii.10,@rosaelenaargueta79,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC3UVO7pTbeYvZ3ILEyRDskQ
@Tommii.10,@davidlima1348,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC4Avya4kmR4Q0FrfFdBozSQ
@Tommii.10,@leonelsantizo5281,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC5hvEnRUzI4Kfvwnyi4QxqQ
@Tommii.10,@alfredoortega9264,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC6Uj1FT5JjDSF8vudvDxPAA
@Tommii.10,@lesolorzano,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC7dadZG7kkGYnsNu6td0FbA
@Tommii.10,@ingenieroar,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC816IGbFCZinfYS1LRDaaHg
@Tommii.10,@lisss1908,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UC95PSMouTx2N5CbSq0hIyrQ
@Tommii.10,@melvinlopez7096,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UCAKuKvcbfnBD3kF5njNu-IA
@Tommii.10,@lidiarodriguez3493,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UCCBYcToQ2dwkd6TJh0FSyDg
@Tommii.10,@laboratorio5528,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UCDrmf9y9nLgFY5wnA2hTuGA
@Tommii.10,@karensussetteleonvargas9794,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UCGGHbtfbbe0o68etrOf0qxw
@Tommii.10,@caminoseternos752,1,author::UC-fiZBS5Gp1eCJd9ucgWnCg,author::UCHbwIx9pmQuf7i-4_xO2EpA
