video_a,video_b,autores_compartidos,nodo_a,nodo_b
La cooptación de Walter Mazariegos en la USAC,Qué rico come tu diputado,2,video::j43HgwYFKfk,video::n8iP75gIpmw
Internet: escoger el menos malo,Arroz con pollo a la MONOPOLIO,2,video::ndAZjHqzzT8,video::yLZS3JiEBg8
Capturan a presuntos delincuentes disfrazados de mujer seña…,Inician los trabajos de recuperación del Puente Belice II.,1,video::06mFNPU0aB8,video::6W4u8sGEnGM
Inician los trabajos de recuperación del Puente Belice II.,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,1,video::6W4u8sGEnGM,video::PjmxCj-a9Hg
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Qué rico come tu diputado,1,video::PjmxCj-a9Hg,video::n8iP75gIpmw
Caminar en una ciudad hecha para carros,Internet: escoger el menos malo,1,video::WIUZtitfLRw,video::ndAZjHqzzT8
Caminar en una ciudad hecha para carros,Arroz con pollo a la MONOPOLIO,1,video::WIUZtitfLRw,video::yLZS3JiEBg8
Bloqueos en Guatemala este 31 de agosto por alza en combust…,Qué rico come tu diputado,1,video::b_Hkrkl3adA,video::n8iP75gIpmw
Capturan a ladrón que había quedado grabado mientras robaba…,La cooptación de Walter Mazariegos en la USAC,1,video::is3Mk5oC19g,video::j43HgwYFKfk
La cooptación de Walter Mazariegos en la USAC,Internet: escoger el menos malo,1,video::j43HgwYFKfk,video::ndAZjHqzzT8
Qué rico come tu diputado,Internet: escoger el menos malo,1,video::n8iP75gIpmw,video::ndAZjHqzzT8
