componente,nodos,autores,videos,comentarios,titulos
1,286,276,10,343,Arroz con pollo a la MONOPOLIO | Bloqueos en Guatemala este 31 de … | Caminar en una ciudad hecha para … | Capturan a ladrón que había queda… | Capturan a presuntos delincuentes… | Conferencia de Prensa del Gobiern… | Inician los trabajos de recuperac… | Internet: escoger el menos malo | La cooptación de Walter Mazariego… | Qué rico come tu diputado
2,26,25,1,25,Plan 2032 Ciudad de Guatemala
3,19,18,1,25,EE.UU. envía a mexicanos deportad…
4,5,4,1,4,I’x K’at: el primer equipo guatem…
5,4,3,1,3,10 Preguntas a un año del Paro Na…
6,3,2,1,2,"Noticiero en Directo 1 pm, 28 de …"
7,2,1,1,1,¿Quiénes pagan más en Centroaméri…
8,2,1,1,1,Cruzando la ciudad a puro Transme…
9,2,1,1,1,Edén por Salud: empleo inclusivo …
10,2,1,1,1,SHAI WA: la vecina queer de Casa …
