comunidad,nodos,autores,videos,comentarios,intensidad_comentarios_por_autor,canales,categorias,likes_totales,respuestas_totales,sent_medio,pct_negativos,pct_positivos,temas_frecuentes,videos_titulos
1,126,125,1,161,1.29,Quorum,News & Politics,358,3,-0.671,80.7,5.6,"pueblo, diputado, pagar, dinero, trabajo, sueldo, almuerzo, trabajar",Qué rico come tu diputado
2,48,47,1,50,1.06,Quorum,News & Politics,91,0,-0.342,58.0,20.0,"corrupto, usac, estudiante, universidad, excelente, información, video, universitario",La cooptación de Walter Mazariegos en l…
3,32,29,3,34,1.17,Quorum,News & Politics,17,1,-0.209,50.0,26.5,"excelente, empresa, internet, ley, video, información, seguir, servicio",Arroz con pollo a la MONOPOLIO | Internet: escoger el menos malo | Caminar en una ciudad hecha para carros
4,31,30,1,45,1.5,Gobierno de la República de Guatemala,Entertainment,90,11,-0.109,40.0,28.9,"presidente, guatemala, proyecto, arévalo, terminar, bernardo, puente, vivir",Inician los trabajos de recuperación de…
5,26,25,1,25,1.0,Municipalidad de Guatemala,News & Politics,1697,16,0.609,8.0,80.0,"guatemala, ciudad, saludo, proyecto, vivir, tiempo, ojalá, cuidad",Plan 2032 Ciudad de Guatemala
6,19,18,1,25,1.39,Noticias Telemundo,News & Politics,25,13,-0.473,64.0,8.0,"you, deportar, entrar, méxico, persona, pasar, mexicano, regresar",EE.UU. envía a mexicanos deportados a G…
7,19,18,1,25,1.39,Gobierno de la República de Guatemala,Entertainment,20,4,-0.422,68.0,16.0,"guatemala, gobierno, presidente, bla, persona, maya, méxico, señor",Conferencia de Prensa del Gobierno de G…
8,14,13,1,14,1.08,Noti7,News & Politics,12,1,-0.177,28.6,21.4,"trabajo, mujer, faltar, cara, joven, buscar, suerte, policía",Capturan a presuntos delincuentes disfr…
9,8,7,1,7,1.0,PrensaLibreOficial,News & Politics,1,1,-0.759,85.7,0.0,"asqueroso, galón, entender, gasolina, guerra, guatemala, puro, show",Bloqueos en Guatemala este 31 de agosto…
10,8,7,1,7,1.0,TN23 Guatemala,News & Politics,0,1,-0.622,85.7,0.0,"comparator, enjuiciar, obgwto, robado, humano, hechor, consentidor, pena",Capturan a ladrón que había quedado gra…
11,5,4,1,4,1.0,Quorum,News & Politics,8,0,0.467,25.0,75.0,"iniciativa, juego, excelente, deporte, dinamico, entretenido, trasfondo, macabro",I’x K’at: el primer equipo guatemalteco…
12,4,3,1,3,1.0,Quorum,News & Politics,4,0,0.157,33.3,66.7,"guatemala, cambiar, dictadura, semilla, bernardo, arévalo, oportunidad, salir",10 Preguntas a un año del Paro Nacional
13,3,2,1,2,1.0,Noticiero Guatevisión 13 Hrs.,News & Politics,0,0,-0.519,50.0,0.0,"persona, encargado, ecosistema, ayudar, problema, recuerdo, dejar, semiya","Noticiero en Directo 1 pm, 28 de Agosto…"
14,2,1,1,1,1.0,Quorum,News & Politics,0,0,0.718,0.0,100.0,woow,¿Quiénes pagan más en Centroamérica?
15,2,1,1,1,1.0,Quorum,News & Politics,0,0,-0.888,100.0,0.0,"teléfono, subscribir, boletín, informativo, intentar, página, web, colocado",Cruzando la ciudad a puro Transmetro
16,2,1,1,1,1.0,Quorum,Nonprofits & Activism,0,0,0.524,0.0,100.0,,Edén por Salud: empleo inclusivo para p…
17,2,1,1,1,1.0,Quorum,News & Politics,2,0,0.972,0.0,100.0,"gracias, video, importante, tipo, espacio",SHAI WA: la vecina queer de Casa Presid…
