video,comunidad_bipartita,comunidad_proyeccion,canal,comentarios
Qué rico come tu diputado,1,1,Quorum,161.0
La cooptación de Walter Mazariegos en la USAC,2,1,Quorum,50.0
Arroz con pollo a la MONOPOLIO,3,3,Quorum,16.0
Internet: escoger el menos malo,3,3,Quorum,12.0
Caminar en una ciudad hecha para carros,3,3,Quorum,6.0
Inician los trabajos de recuperación del Puente…,4,2,Gobierno de la República de Guatemala,45.0
Plan 2032 Ciudad de Guatemala,5,10,Municipalidad de Guatemala,25.0
EE.UU. envía a mexicanos deportados a Guatemala…,6,6,Noticias Telemundo,25.0
Conferencia de Prensa del Gobierno de Guatemala…,7,2,Gobierno de la República de Guatemala,25.0
Capturan a presuntos delincuentes disfrazados d…,8,2,Noti7,14.0
Bloqueos en Guatemala este 31 de agosto por alz…,9,1,PrensaLibreOficial,7.0
Capturan a ladrón que había quedado grabado mie…,10,1,TN23 Guatemala,7.0
I’x K’at: el primer equipo guatemalteco de pelo…,11,7,Quorum,4.0
10 Preguntas a un año del Paro Nacional,12,5,Quorum,3.0
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",13,4,Noticiero Guatevisión 13 Hrs.,2.0
¿Quiénes pagan más en Centroamérica?,14,11,Quorum,1.0
Cruzando la ciudad a puro Transmetro,15,9,Quorum,1.0
Edén por Salud: empleo inclusivo para personas …,16,12,Quorum,1.0
SHAI WA: la vecina queer de Casa Presidencial,17,8,Quorum,1.0
