node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
video::n8iP75gIpmw,video,Qué rico come tu diputado,1,1,128,161,0.3855,0.5657,0.3046,0.16729,0.707,Quorum,News & Politics,11775,161.0,-0.6708551856489586
video::j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,2,1,49,50,0.1476,0.22747,0.2214,0.06319,0.01046,Quorum,News & Politics,10156,50.0,-0.3421517558116466
video::6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,4,1,32,45,0.0964,0.18762,0.1583,0.04259,4e-05,Gobierno de la República de Guatemala,Entertainment,11670,45.0,-0.1085822963466247
video::lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,5,2,25,25,0.0753,0.00491,0.0714,0.03427,0.0,Municipalidad de Guatemala,News & Politics,304089,25.0,0.609418144999072
video::OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su…,6,3,18,25,0.0542,0.00251,0.0514,0.02511,0.0,Noticias Telemundo,News & Politics,14200,25.0,-0.4730978589039296
video::PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,7,1,19,25,0.0572,0.24403,0.2157,0.0249,0.00661,Gobierno de la República de Guatemala,Entertainment,3628,25.0,-0.4223267150484025
video::yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,3,1,16,16,0.0482,0.06367,0.1456,0.02045,4e-05,Quorum,News & Politics,1954,16.0,-0.23566478485008702
video::06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer seña…,8,1,13,14,0.0392,0.05472,0.117,0.01751,0.0,Noti7,News & Politics,6692,14.0,-0.17652684789417045
video::ndAZjHqzzT8,video,Internet: escoger el menos malo,3,1,10,12,0.0301,0.12829,0.2114,0.01328,0.003,Quorum,News & Politics,717,12.0,0.0019791701536936066
video::is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba…,10,1,7,7,0.0211,0.02765,0.146,0.00986,4e-05,TN23 Guatemala,News & Politics,4616,7.0,-0.6218193894518274
video::b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combust…,9,1,7,7,0.0211,0.02765,0.178,0.00961,0.00285,PrensaLibreOficial,News & Politics,5469,7.0,-0.7589701656252146
video::WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,3,1,6,6,0.0181,0.02309,0.1438,0.00806,2e-05,Quorum,News & Politics,422,6.0,-0.5598447892116383
video::TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, con…",11,4,4,4,0.012,0.0001,0.0114,0.00678,0.0,Quorum,News & Politics,1075,4.0,0.4665697691962123
author::UCi2KiZq63sRq8Mfbcp-MelQ,autor,@eugeneramirez4405,6,3,1,6,0.0526,0.0,0.0264,0.00555,0.0,,,,,-0.481
