etiqueta,comunidad,componente,diversidad,recurrencia,intermediacion,cercania,pagerank,vector_propio,sent_medio
@virgiliogarcia3039,1,1,2,3,0.23158,0.2528,0.00304,0.08895,-0.857
@inge_vergueta,3,1,3,3,0.21808,0.2655,0.00332,0.04511,-0.048
@josegil3813,7,1,2,2,0.17683,0.1827,0.00208,0.00042,-0.082
@Jel.Awesh.M,2,1,2,3,0.08915,0.2479,0.00346,0.04558,-0.673
@hashojea7348,3,1,3,4,0.05971,0.1732,0.00454,0.00038,0.46
@franciscoflores3120,8,1,2,2,0.0579,0.1346,0.00229,0.0,0.099
@Alejandro00710,3,1,2,2,0.0323,0.1717,0.00245,0.00019,-0.98
@MarcosCarillo-b1r,10,1,2,2,0.03186,0.1761,0.0027,0.00066,-0.828
@moisesvaldez4043,9,1,2,2,0.03186,0.2249,0.00248,0.04444,-0.846
@eugeneramirez4405,6,3,1,6,0.0,0.0264,0.00555,0.0,-0.481
@Murmullodelbarrio,4,1,1,6,0.0,0.1326,0.00525,2e-05,-0.314
@ManuelEdran,1,1,1,5,0.0,0.2219,0.00484,0.22133,-0.025
@albertoshernandez5251,4,1,1,5,0.0,0.1326,0.00445,1e-05,0.389
@ErvinLeonardoCarreraLatín,1,1,1,4,0.0,0.2219,0.00396,0.17706,-0.85
@marioajset4283,1,1,1,3,0.0,0.2219,0.00308,0.1328,-0.954
