etiqueta,channel_name,category,comunidad,componente,grado,fuerza,intermediacion,cercania,pagerank,vector_propio,view_count,sent_medio
Qué rico come tu diputado,Quorum,News & Politics,1,1,128,161,0.5657,0.3046,0.16729,0.707,11775,-0.6708551856489586
La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,2,1,49,50,0.22747,0.2214,0.06319,0.01046,10156,-0.3421517558116466
Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,4,1,32,45,0.18762,0.1583,0.04259,4e-05,11670,-0.1085822963466247
Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,5,2,25,25,0.00491,0.0714,0.03427,0.0,304089,0.609418144999072
EE.UU. envía a mexicanos deportados a Guatemala antes de su…,Noticias Telemundo,News & Politics,6,3,18,25,0.00251,0.0514,0.02511,0.0,14200,-0.4730978589039296
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,7,1,19,25,0.24403,0.2157,0.0249,0.00661,3628,-0.4223267150484025
Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,3,1,16,16,0.06367,0.1456,0.02045,4e-05,1954,-0.23566478485008702
Capturan a presuntos delincuentes disfrazados de mujer seña…,Noti7,News & Politics,8,1,13,14,0.05472,0.117,0.01751,0.0,6692,-0.17652684789417045
Internet: escoger el menos malo,Quorum,News & Politics,3,1,10,12,0.12829,0.2114,0.01328,0.003,717,0.0019791701536936066
Capturan a ladrón que había quedado grabado mientras robaba…,TN23 Guatemala,News & Politics,10,1,7,7,0.02765,0.146,0.00986,4e-05,4616,-0.6218193894518274
Bloqueos en Guatemala este 31 de agosto por alza en combust…,PrensaLibreOficial,News & Politics,9,1,7,7,0.02765,0.178,0.00961,0.00285,5469,-0.7589701656252146
Caminar en una ciudad hecha para carros,Quorum,News & Politics,3,1,6,6,0.02309,0.1438,0.00806,2e-05,422,-0.5598447892116383
"I’x K’at: el primer equipo guatemalteco de pelota maya, con…",Quorum,News & Politics,11,4,4,4,0.0001,0.0114,0.00678,0.0,1075,0.4665697691962123
10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,12,5,3,3,5e-05,0.0086,0.00547,0.0,673,0.15734617101649442
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,13,6,2,2,2e-05,0.0057,0.00416,0.0,573,-0.5193295222707093
¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,14,7,1,1,0.0,0.0029,0.00285,0.0,220,0.7178555652499199
Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,15,8,1,1,0.0,0.0029,0.00285,0.0,1140,-0.888206748990342
SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,17,10,1,1,0.0,0.0029,0.00285,0.0,1755,0.9715507568325847
Edén por Salud: empleo inclusivo para personas con discapac…,Quorum,Nonprofits & Activism,16,9,1,1,0.0,0.0029,0.00285,0.0,52,0.5236745104193687
