video,canal,comentaristas,intermediacion,componentes_antes,componentes_despues
Qué rico come tu diputado,Quorum,128,0.5657,10,136
Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,19,0.24403,10,28
La cooptación de Walter Mazariegos en la USAC,Quorum,49,0.22747,10,57
Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,32,0.18762,10,41
Internet: escoger el menos malo,Quorum,10,0.12829,10,18
Arroz con pollo a la MONOPOLIO,Quorum,16,0.06367,10,24
Capturan a presuntos delincuentes disfrazados de mujer seña…,Noti7,13,0.05472,10,22
Bloqueos en Guatemala este 31 de agosto por alza en combust…,PrensaLibreOficial,7,0.02765,10,16
Capturan a ladrón que había quedado grabado mientras robaba…,TN23 Guatemala,7,0.02765,10,16
Caminar en una ciudad hecha para carros,Quorum,6,0.02309,10,15
Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,25,0.00491,10,34
EE.UU. envía a mexicanos deportados a Guatemala antes de su…,Noticias Telemundo,18,0.00251,10,27
"I’x K’at: el primer equipo guatemalteco de pelota maya, con…",Quorum,4,0.0001,10,13
10 Preguntas a un año del Paro Nacional,Quorum,3,5e-05,10,12
"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,2,2e-05,10,11
