etiqueta,comunidad,diversidad,recurrencia,intermediacion,sent_medio
@eugeneramirez4405,6,1,6,0.0,-0.481
@Murmullodelbarrio,4,1,6,0.0,-0.314
@ManuelEdran,1,1,5,0.0,-0.025
@albertoshernandez5251,4,1,5,0.0,0.389
@hashojea7348,3,3,4,0.05971,0.46
@ErvinLeonardoCarreraLatín,1,1,4,0.0,-0.85
@inge_vergueta,3,3,3,0.21808,-0.048
@virgiliogarcia3039,1,2,3,0.23158,-0.857
@Jel.Awesh.M,2,2,3,0.08915,-0.673
@marioajset4283,1,1,3,0.0,-0.954
@osmanmorales3012,1,1,3,0.0,-0.751
@HaroldoCastillo-rh9iw,1,1,3,0.0,-0.299
@juandeleon9060,7,1,3,0.0,-0.124
@ErmePérez-q4s,7,1,3,0.0,-0.658
@andyB5280,1,1,3,0.0,-0.865
@byronpontaza,1,1,3,0.0,-0.401
@Alejandro00710,3,2,2,0.0323,-0.98
@MarcosCarillo-b1r,10,2,2,0.03186,-0.828
@franciscoflores3120,8,2,2,0.0579,0.099
@moisesvaldez4043,9,2,2,0.03186,-0.846
@josegil3813,7,2,2,0.17683,-0.082
@mariaalexander427,6,1,2,0.0,-0.742
@Burgos68,7,1,2,0.0,-0.004
@ruddydepaz322,8,1,2,0.0,-0.116
@rosadiaz6945,6,1,2,0.0,-0.343
@fredymendez1786,1,1,2,0.0,-0.775
@raquelprado3643,1,1,2,0.0,-0.907
@kanterra4584,1,1,2,0.0,-0.795
@guillermogonzalez5153,1,1,2,0.0,-0.398
@LE_A22,1,1,2,0.0,-0.934
@welfrealdana5559,1,1,2,0.0,-0.862
@MegaKristenstewart,1,1,2,0.0,-0.956
@nestormendez6216,1,1,2,0.0,-0.642
@rwdm76,3,1,2,0.0,0.115
@hectormaaz5523,4,1,2,0.0,-0.88
@MrDuenderojo,1,1,2,0.0,-0.753
@davidisraelesquitsaquil,1,1,2,0.0,-0.791
@ARGELIATELON,1,1,2,0.0,-0.933
@Israel-u5i7i,4,1,2,0.0,0.252
@robertoescobar5507,4,1,2,0.0,0.368
@josecarrera9623,1,1,2,0.0,-0.949
@carlosgranados9875,4,1,2,0.0,-0.378
@aureliomaldonado4793,7,1,2,0.0,-0.485
@yeniferaguirre4498,1,1,2,0.0,-0.93
@TeresaLucero-b5o,1,1,2,0.0,-0.442
@eusebiovasquez4385,1,1,2,0.0,-0.768
