video_id,title,category,comentarios,autores,sent_medio,pct_neg,pct_pos,comparable
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,News & Politics,1,1,-0.888,100.0,0.0,False
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,News & Politics,7,7,-0.759,85.7,0.0,False
n8iP75gIpmw,Qué rico come tu diputado,News & Politics,161,128,-0.671,80.7,5.6,True
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,News & Politics,7,7,-0.622,85.7,0.0,False
WIUZtitfLRw,Caminar en una ciudad hecha para carros,News & Politics,6,6,-0.56,66.7,0.0,False
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",News & Politics,2,2,-0.519,50.0,0.0,False
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,News & Politics,25,18,-0.473,64.0,8.0,True
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Entertainment,25,19,-0.422,68.0,16.0,True
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,News & Politics,50,49,-0.342,58.0,20.0,True
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,News & Politics,16,16,-0.236,56.2,31.2,True
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,News & Politics,14,13,-0.177,28.6,21.4,True
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Entertainment,45,32,-0.109,40.0,28.9,True
ndAZjHqzzT8,Internet: escoger el menos malo,News & Politics,12,10,0.002,33.3,33.3,True
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,News & Politics,3,3,0.157,33.3,66.7,False
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",News & Politics,4,4,0.467,25.0,75.0,False
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Nonprofits & Activism,1,1,0.524,0.0,100.0,False
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,News & Politics,25,25,0.609,8.0,80.0,True
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,News & Politics,1,1,0.718,0.0,100.0,False
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,News & Politics,1,1,0.972,0.0,100.0,False
