dimension,comunidad,comentarios,autores,sent_medio,pct_neg,pct_neu,pct_pos,likes,comparable
Comunidad,1,161,128,-0.671,80.7,13.7,5.6,358,True
Comunidad,2,50,49,-0.342,58.0,22.0,20.0,91,True
Comunidad,4,45,32,-0.109,40.0,31.1,28.9,90,True
Comunidad,3,34,29,-0.209,50.0,23.5,26.5,17,True
Comunidad,5,25,25,0.609,8.0,12.0,80.0,1697,True
Comunidad,6,25,18,-0.473,64.0,28.0,8.0,25,True
Comunidad,7,25,19,-0.422,68.0,16.0,16.0,20,True
Comunidad,8,14,13,-0.177,28.6,50.0,21.4,12,True
Comunidad,10,7,7,-0.622,85.7,14.3,0.0,0,False
Comunidad,9,7,7,-0.759,85.7,14.3,0.0,1,False
Comunidad,11,4,4,0.467,25.0,0.0,75.0,8,False
Comunidad,12,3,3,0.157,33.3,0.0,66.7,4,False
Comunidad,13,2,2,-0.519,50.0,50.0,0.0,0,False
Comunidad,14,1,1,0.718,0.0,0.0,100.0,0,False
Comunidad,15,1,1,-0.888,100.0,0.0,0.0,0,False
Comunidad,16,1,1,0.524,0.0,0.0,100.0,0,False
Comunidad,17,1,1,0.972,0.0,0.0,100.0,2,False
