source,target,weight,relation
author::UC-HeUTT6_g-VoiWds2a4H-w,video::6W4u8sGEnGM,1,comento_en
author::UC-Iul5tDYH_oiAMXQH-KaaQ,video::6W4u8sGEnGM,1,comento_en
author::UC-QOpE7GOxlXcHZ8b7HbQKA,video::OkXlHx0hx-8,2,comento_en
author::UC-fiZBS5Gp1eCJd9ucgWnCg,video::j43HgwYFKfk,1,comento_en
author::UC-hfX8J5JPJ-dfuakzegMLA,video::n8iP75gIpmw,1,comento_en
author::UC-jS_kA9w-OmpupXDx156Rg,video::n8iP75gIpmw,1,comento_en
author::UC-pNP6RMFuLg_-x7Ah_0kEA,video::n8iP75gIpmw,1,comento_en
author::UC094EFEmMSdwVa8NQjjYBXg,video::b_Hkrkl3adA,1,comento_en
author::UC0HvfEWozTHbwl_iEmJNvVA,video::6W4u8sGEnGM,1,comento_en
author::UC0RpuMwkDKJYqgKHtsJRuWQ,video::lj983NWyAQY,1,comento_en
author::UC0aEyakBPqcBkVJiErfSupQ,video::lj983NWyAQY,1,comento_en
author::UC14qlobYKqD-DO0j6b75lcA,video::6W4u8sGEnGM,1,comento_en
author::UC1DpqK6vaPEkBOMNvypsKYg,video::j43HgwYFKfk,1,comento_en
author::UC1NiEdJ7gk6FlDexIalWnGg,video::6W4u8sGEnGM,1,comento_en
author::UC1WlJfQmaIskYhP4gmWoamw,video::OkXlHx0hx-8,1,comento_en
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,video::PjmxCj-a9Hg,1,comento_en
author::UC1vr9aaMI2crB0NvwFHUeoQ,video::n8iP75gIpmw,1,comento_en
author::UC2Y_EHWQKevubk4vOEBBFxw,video::n8iP75gIpmw,1,comento_en
author::UC2ngpd8UBQu4gcUYy0goAtg,video::06mFNPU0aB8,1,comento_en
author::UC2weSE8rpqkGMOp6StYtVfg,video::n8iP75gIpmw,1,comento_en
author::UC32oozucwCF3q8d4m8fyOUg,video::j43HgwYFKfk,1,comento_en
author::UC3E9mAgP7VoAE5mZoAexl5g,video::n8iP75gIpmw,1,comento_en
author::UC3MYTqpQqlWBuCB7Th0e0PA,video::n8iP75gIpmw,1,comento_en
author::UC3NMzdMYryaw82kPTnsaljg,video::n8iP75gIpmw,1,comento_en
author::UC3UVO7pTbeYvZ3ILEyRDskQ,video::j43HgwYFKfk,1,comento_en
author::UC3XTwHxygNCgjndsg-UiCQA,video::n8iP75gIpmw,3,comento_en
author::UC3YpzAr7pcdKC7BVFEpYzog,video::6W4u8sGEnGM,1,comento_en
author::UC3iIU62XKUOWuqL8BqBzj9A,video::b_Hkrkl3adA,1,comento_en
author::UC3qn1yJA5PeW9rkGPatQxiw,video::n8iP75gIpmw,1,comento_en
author::UC4Avya4kmR4Q0FrfFdBozSQ,video::j43HgwYFKfk,1,comento_en
