componente,nodos,autores,videos,comentarios,términos_frecuentes
1,286,276,10,343,"pueblo, diputado, él, pagar, dinero, presidente, corrupto"
2,26,25,1,25,"guatemala, ciudad, saludo, proyecto, vivir, tiempo, cuidad"
3,19,18,1,25,"you, país, deportar, entrar, pais, persona, pasar"
4,5,4,1,4,"iniciativa, juego, excelente, ver, deporte, dinamico, entretenido"
5,4,3,1,3,"guatemala, cambiar, dictadura, año, ver, semilla, bernardo"
6,3,2,1,2,"persona, encargado, ecosistema, ayudar, problema, recuerdo, dejar"
7,2,1,1,1,wooow
8,2,1,1,1,"teléfono, subscribir, boletín, informativo, intentar, pagina, web"
9,2,1,1,1,
10,2,1,1,1,"gracias, video, importante, tipo, espacio"
