dataset,variable,tipo,faltantes,faltantes_pct,vacios_texto,valores_unicos,constante,atipicos_iqr
videos,video_id,string,0,0.0,0,293,False,
videos,title,str,0,0.0,0,274,False,
videos,channel_name,str,0,0.0,0,97,False,
videos,channel_id,string,0,0.0,0,97,False,
videos,source_query,str,0,0.0,0,21,False,
videos,source_group,str,0,0.0,0,3,False,
videos,dataset_sources,str,0,0.0,0,23,False,
videos,channel_handle,string,0,0.0,0,97,False,
videos,published_time,str,13,4.44,13,80,False,
videos,view_count_text,str,13,4.44,13,259,False,
videos,description_snippet,str,25,8.53,25,236,False,
videos,video_url,str,0,0.0,0,293,False,
videos,query_hits,str,0,0.0,0,26,False,
videos,keywords,str,0,0.0,0,106,False,
videos,description,str,26,8.87,26,234,False,
videos,view_count,int64,0,0.0,0,267,False,49
videos,publish_date,str,0,0.0,0,293,False,
videos,upload_date,str,0,0.0,0,293,False,
videos,category,str,0,0.0,0,11,False,
videos,owner_handle,string,0,0.0,0,97,False,
comentarios,video_id,string,0,0.0,0,19,False,
comentarios,comment_id,string,0,0.0,0,406,False,
comentarios,video_title,str,0,0.0,0,19,False,
comentarios,channel_name,str,0,0.0,0,8,False,
comentarios,channel_id,string,0,0.0,0,8,False,
comentarios,author_name,str,0,0.0,0,332,False,
comentarios,author_channel_id,string,0,0.0,0,332,False,
comentarios,text,str,0,0.0,0,404,False,
comentarios,source_query,str,0,0.0,0,6,False,
comentarios,source_group,str,0,0.0,0,2,False,
comentarios,dataset_sources,str,0,0.0,0,8,False,
comentarios,author_handle,string,0,0.0,0,332,False,
comentarios,published_text,str,0,0.0,0,39,False,
comentarios,like_count_text,str,0,0.0,189,31,False,
comentarios,reply_count,int64,0,0.0,0,6,False,30
comentarios,is_pinned,bool,0,0.0,0,1,True,
comentarios,viewer_rating,float64,406,100.0,0,0,True,0
