node_id,node_type,bipartite,label,coverage_status,author_channel_id,author_name,author_handle,comments_total,distinct_videos,distinct_channels,likes_total,replies_total,video_id,title,channel_id,channel_name,category,source_group,view_count,comments_observed,unique_authors
author::UC-HeUTT6_g-VoiWds2a4H-w,author,0,/@JorgeMunoz-gd9et,participación_observada,UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC-Iul5tDYH_oiAMXQH-KaaQ,author,0,/@AlbertoMancilla-p9h,participación_observada,UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,/@AlbertoMancilla-p9h,1.0,1.0,1.0,1.0,0.0,,,,,,,,,
author::UC-QOpE7GOxlXcHZ8b7HbQKA,author,0,/@mariaalexander427,participación_observada,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,/@mariaalexander427,2.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC-fiZBS5Gp1eCJd9ucgWnCg,author,0,/@Tommii.10,participación_observada,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,/@Tommii.10,1.0,1.0,1.0,6.0,0.0,,,,,,,,,
author::UC-hfX8J5JPJ-dfuakzegMLA,author,0,/@normaleticiaorozcojuarez2418,participación_observada,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,/@normaleticiaorozcojuarez2418,1.0,1.0,1.0,6.0,0.0,,,,,,,,,
author::UC-jS_kA9w-OmpupXDx156Rg,author,0,/@simoncreyesc7579,participación_observada,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,/@simoncreyesc7579,1.0,1.0,1.0,2.0,0.0,,,,,,,,,
author::UC-pNP6RMFuLg_-x7Ah_0kEA,author,0,/@almacatalan2717,participación_observada,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,/@almacatalan2717,1.0,1.0,1.0,5.0,0.0,,,,,,,,,
author::UC094EFEmMSdwVa8NQjjYBXg,author,0,/@CelestinoQuej-j7k,participación_observada,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,/@CelestinoQuej-j7k,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC0HvfEWozTHbwl_iEmJNvVA,author,0,/@OttoPalencia-b7r,participación_observada,UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,/@OttoPalencia-b7r,1.0,1.0,1.0,3.0,0.0,,,,,,,,,
author::UC0RpuMwkDKJYqgKHtsJRuWQ,author,0,/@sabinamarinaguerra3248,participación_observada,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,1.0,1.0,1.0,113.0,1.0,,,,,,,,,
author::UC0aEyakBPqcBkVJiErfSupQ,author,0,/@jhonymanuel9891,participación_observada,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,/@jhonymanuel9891,1.0,1.0,1.0,70.0,0.0,,,,,,,,,
author::UC14qlobYKqD-DO0j6b75lcA,author,0,/@megavision4488,participación_observada,UC14qlobYKqD-DO0j6b75lcA,@megavision4488,/@megavision4488,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC1DpqK6vaPEkBOMNvypsKYg,author,0,/@HectorCarranza-u4j4o,participación_observada,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC1NiEdJ7gk6FlDexIalWnGg,author,0,/@BorisTebal%C3%A1n,participación_observada,UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,/@BorisTebal%C3%A1n,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC1WlJfQmaIskYhP4gmWoamw,author,0,/@marthareiss5434,participación_observada,UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,/@marthareiss5434,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author,0,/@rosadiaz9235,participación_observada,UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,/@rosadiaz9235,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC1vr9aaMI2crB0NvwFHUeoQ,author,0,/@JoseSimilox-p6e,participación_observada,UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,/@JoseSimilox-p6e,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC2Y_EHWQKevubk4vOEBBFxw,author,0,/@alfonsomorales2653,participación_observada,UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,/@alfonsomorales2653,1.0,1.0,1.0,1.0,0.0,,,,,,,,,
author::UC2ngpd8UBQu4gcUYy0goAtg,author,0,/@juliohernandez7438,participación_observada,UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,/@juliohernandez7438,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
author::UC2weSE8rpqkGMOp6StYtVfg,author,0,/@katerynsantiago2907,participación_observada,UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,/@katerynsantiago2907,1.0,1.0,1.0,1.0,0.0,,,,,,,,,
